"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"APILKD_14055",27.9918599593911,1.28643697221826,0.790754268976361,1.62684796363296,0.103769391988185,NA
"APILKD_14060",22.442484018113,-1.23019578562148,0.907723283046086,-1.35525419320881,0.175336583802059,NA
"APILKD_14065",23.9348338625651,-0.990530505419212,1.14095576370658,-0.868158553493181,0.385307540173847,NA
"APILKD_14070",19.1682412787591,0.364219496010621,0.980347210251331,0.371520918509317,0.71024957836399,NA
"APILKD_14075",234.158700360056,-0.044610973637992,0.331544388510529,-0.1345550556244,0.892963678761008,0.960659678347877
"APILKD_14080",77.603074911421,0.140102161668076,0.598999790550195,0.233893506939943,0.815067654131563,0.92735217922962
"APILKD_14085",14.4511089607831,-1.39687125026893,1.25328266741517,-1.11456999014428,0.265034736308642,NA
"APILKD_14090",49.4631126239467,-0.415141702805373,0.609814626778479,-0.68076704719019,0.496018904196451,NA
"APILKD_14095",77.864222602483,-0.265573827045864,0.525592785381865,-0.505284384474405,0.613359108977853,0.816733246972635
"APILKD_14100",383.638936204679,0.30258779339552,0.234536497361421,1.29015226542431,0.196997796051909,0.456907791488138
"APILKD_14105",777.317208795203,-0.104050127744663,0.184693016480721,-0.563367959045294,0.573184350554669,0.79447075507455
"APILKD_14110",587.942425099913,-0.231188486235402,0.224369468016799,-1.03039191686319,0.302826066145525,0.577538306521572
"APILKD_14115",79.8300966459734,-0.12240657550672,0.612148093339971,-0.199962356884674,0.841510021363062,0.935878894601766
"APILKD_14120",89.0541804450919,-1.39253340340686,0.47614828813244,-2.92457925002458,0.00344922239415908,0.025349140389101
"APILKD_14125",299.597715003575,-0.27122649778408,0.321312579636258,-0.844120382996277,0.398602138714162,0.663381454095594
"APILKD_14130",127.448224440254,0.645084690898412,0.384468747604586,1.6778598908691,0.0933744541920358,0.287111472120059
"APILKD_14135",99.3891632670677,-0.400418542693459,0.477068208266417,-0.839331851829971,0.401283114048443,0.664299458574565
"APILKD_14140",50.799748604785,-0.37058733827003,0.615170140044038,-0.602414379611306,0.546898340590219,NA
"APILKD_14145",25.987163731963,-0.150358700361348,1.02330153937054,-0.146934891208936,0.883183411600615,NA
"APILKD_14150",6.71530456367934,-2.67541758188391,2.16681690554609,-1.23472249779666,0.216933799903775,NA
"APILKD_14155",351.252821113193,-0.750862121175794,0.311836496459706,-2.40787120718828,0.016045840528836,0.0823088656853729
"APILKD_14160",386.241507649664,-0.271195921918542,0.235661820543353,-1.15078429460173,0.249820987532271,0.521649438632244
"APILKD_14165",333.7135065491,0.583176808602552,0.269564838731145,2.16340087730875,0.0305103601651198,0.132951205810431
"APILKD_14170",135.449269953732,0.257805906465165,0.497325406121887,0.518384750289593,0.60418985239566,0.810970082301281
"APILKD_14175",438.576086094647,-0.136618089395914,0.244501526803997,-0.558761702561608,0.576324362656327,0.794849566524236
"APILKD_14180",227.04953702336,0.150458060390388,0.367620789804249,0.409275167681631,0.682337736918525,0.85896141764559
"APILKD_14185",5.73899907066833,-0.696685934868538,2.41480436316424,-0.288506160373023,0.772959315604785,NA
"APILKD_14190",6.09304487134348,-1.33310947089386,2.00400965661235,-0.665221081393091,0.505909098617094,NA
"APILKD_14195",77.2288149532865,-0.810839208241003,0.558176382736871,-1.45265767832252,0.146318823077381,0.380023722309346
"APILKD_14200",93.8575046031193,-0.00190423066053888,0.563962703082922,-0.00337651878418436,0.997305932911962,0.999158800413888
"APILKD_14205",926.852856402919,-0.151243257107274,0.168077868174372,-0.899840405819326,0.368205188107889,0.637158917568164
"APILKD_14210",603.367631955972,0.0861800505668841,0.202692496724923,0.425176323541172,0.670708142562627,0.852579855033338
